hidden nodes: 300, learning rate: 0.000100,  L2-weight: 0.030000,  acc=[0.92360]
hidden nodes: 300, learning rate: 0.000100,  L2-weight: 0.010000,  acc=[0.92200]
hidden nodes: 300, learning rate: 0.000100,  L2-weight: 0.003000,  acc=[0.92290]
hidden nodes: 300, learning rate: 0.000100,  L2-weight: 0.000000,  acc=[0.92290]
hidden nodes: 400, learning rate: 0.010000,  L2-weight: 0.100000,  acc=[0.97810]
hidden nodes: 400, learning rate: 0.010000,  L2-weight: 0.030000,  acc=[0.98260]
hidden nodes: 400, learning rate: 0.010000,  L2-weight: 0.010000,  acc=[0.98270]
hidden nodes: 400, learning rate: 0.010000,  L2-weight: 0.003000,  acc=[0.98340]
hidden nodes: 400, learning rate: 0.010000,  L2-weight: 0.000000,  acc=[0.98190]
hidden nodes: 400, learning rate: 0.003000,  L2-weight: 0.100000,  acc=[0.97920]
hidden nodes: 400, learning rate: 0.003000,  L2-weight: 0.030000,  acc=[0.98010]
hidden nodes: 400, learning rate: 0.003000,  L2-weight: 0.010000,  acc=[0.98010]
hidden nodes: 400, learning rate: 0.003000,  L2-weight: 0.003000,  acc=[0.97970]
hidden nodes: 400, learning rate: 0.003000,  L2-weight: 0.000000,  acc=[0.97960]
hidden nodes: 400, learning rate: 0.001000,  L2-weight: 0.100000,  acc=[0.96840]
hidden nodes: 400, learning rate: 0.001000,  L2-weight: 0.030000,  acc=[0.97120]
hidden nodes: 400, learning rate: 0.001000,  L2-weight: 0.010000,  acc=[0.97110]
hidden nodes: 400, learning rate: 0.001000,  L2-weight: 0.003000,  acc=[0.96880]
hidden nodes: 400, learning rate: 0.001000,  L2-weight: 0.000000,  acc=[0.96920]
hidden nodes: 400, learning rate: 0.000300,  L2-weight: 0.100000,  acc=[0.95130]
hidden nodes: 400, learning rate: 0.000300,  L2-weight: 0.030000,  acc=[0.94960]
hidden nodes: 400, learning rate: 0.000300,  L2-weight: 0.010000,  acc=[0.94860]
hidden nodes: 400, learning rate: 0.000300,  L2-weight: 0.003000,  acc=[0.94820]
hidden nodes: 400, learning rate: 0.000300,  L2-weight: 0.000000,  acc=[0.94790]
hidden nodes: 400, learning rate: 0.000100,  L2-weight: 0.100000,  acc=[0.92650]
hidden nodes: 400, learning rate: 0.000100,  L2-weight: 0.030000,  acc=[0.92490]
hidden nodes: 400, learning rate: 0.000100,  L2-weight: 0.010000,  acc=[0.92580]
hidden nodes: 400, learning rate: 0.000100,  L2-weight: 0.003000,  acc=[0.92550]
hidden nodes: 400, learning rate: 0.000100,  L2-weight: 0.000000,  acc=[0.92550]
hidden nodes: 500, learning rate: 0.010000,  L2-weight: 0.100000,  acc=[0.97850]
hidden nodes: 500, learning rate: 0.010000,  L2-weight: 0.030000,  acc=[0.98280]
hidden nodes: 500, learning rate: 0.010000,  L2-weight: 0.010000,  acc=[0.98290]
hidden nodes: 500, learning rate: 0.010000,  L2-weight: 0.003000,  acc=[0.98320]
hidden nodes: 500, learning rate: 0.010000,  L2-weight: 0.000000,  acc=[0.98130]
hidden nodes: 500, learning rate: 0.003000,  L2-weight: 0.100000,  acc=[0.97880]
hidden nodes: 500, learning rate: 0.003000,  L2-weight: 0.030000,  acc=[0.97980]
hidden nodes: 500, learning rate: 0.003000,  L2-weight: 0.010000,  acc=[0.97950]
hidden nodes: 500, learning rate: 0.003000,  L2-weight: 0.003000,  acc=[0.97900]
hidden nodes: 500, learning rate: 0.003000,  L2-weight: 0.000000,  acc=[0.97890]
hidden nodes: 500, learning rate: 0.001000,  L2-weight: 0.100000,  acc=[0.97210]
hidden nodes: 500, learning rate: 0.001000,  L2-weight: 0.030000,  acc=[0.97160]
hidden nodes: 500, learning rate: 0.001000,  L2-weight: 0.010000,  acc=[0.97080]
hidden nodes: 500, learning rate: 0.001000,  L2-weight: 0.003000,  acc=[0.97080]
hidden nodes: 500, learning rate: 0.001000,  L2-weight: 0.000000,  acc=[0.97010]
hidden nodes: 500, learning rate: 0.000300,  L2-weight: 0.100000,  acc=[0.95420]
hidden nodes: 500, learning rate: 0.000300,  L2-weight: 0.030000,  acc=[0.94910]
hidden nodes: 500, learning rate: 0.000300,  L2-weight: 0.010000,  acc=[0.95000]
hidden nodes: 500, learning rate: 0.000300,  L2-weight: 0.003000,  acc=[0.94750]
hidden nodes: 500, learning rate: 0.000300,  L2-weight: 0.000000,  acc=[0.94740]
hidden nodes: 500, learning rate: 0.000100,  L2-weight: 0.100000,  acc=[0.92610]
hidden nodes: 500, learning rate: 0.000100,  L2-weight: 0.030000,  acc=[0.92690]
hidden nodes: 500, learning rate: 0.000100,  L2-weight: 0.010000,  acc=[0.92600]
hidden nodes: 500, learning rate: 0.000100,  L2-weight: 0.003000,  acc=[0.92570]
hidden nodes: 500, learning rate: 0.000100,  L2-weight: 0.000000,  acc=[0.92570]
hidden nodes: 600, learning rate: 0.010000,  L2-weight: 0.100000,  acc=[0.97970]
hidden nodes: 600, learning rate: 0.010000,  L2-weight: 0.030000,  acc=[0.98250]
hidden nodes: 600, learning rate: 0.010000,  L2-weight: 0.010000,  acc=[0.98400]
hidden nodes: 600, learning rate: 0.010000,  L2-weight: 0.003000,  acc=[0.98300]
hidden nodes: 600, learning rate: 0.010000,  L2-weight: 0.000000,  acc=[0.98310]
hidden nodes: 600, learning rate: 0.003000,  L2-weight: 0.100000,  acc=[0.98010]
hidden nodes: 600, learning rate: 0.003000,  L2-weight: 0.030000,  acc=[0.98200]
hidden nodes: 600, learning rate: 0.003000,  L2-weight: 0.010000,  acc=[0.98140]
